keys,es
"

NEW GRADE!!!","

¡¡¡NUEVA MARCA!!!"
"""%s"" is already unlocked.","""%s"" ya está desbloqueado."
$BIND Switch Cartridge,$BIND Cambiar cartucho
(Must delete shader cache after each benchmark to see differences),(Hay que borrar la caché de shaders tras cada prueba para ver diferencias)
2D Art,Arte 2D
2D Artist,Artista 2D
3D Artist,Artista 3D
??? TB Memory,??? TB de Memoria
A cheaper edge smoothing pass than MSAA. Worth trying if MSAA alone is still too slow.,Un suavizado de bordes más barato que MSAA. Merece la pena probarlo si MSAA solo sigue siendo demasiado lento.
"A rising star now rotted. He joins the residents of Mt Silver at its peak. Some say his voice still echoes in the quietest reaches of the town. Musical prowess persists despite the half digested cranium. His voice now commandeered for something new.
","Una estrella en ascenso, ahora podrida. Se une a los residentes del Monte Plateado, en su cima. Dicen que su voz aún resuena en los rincones más silenciosos del pueblo. Su talento musical persiste pese a su cráneo medio digerido. Su voz, ahora al servicio de algo nuevo.
"
ANGLE Video Driver Detected,Controlador de vídeo ANGLE detectado
"Adjust input timings, if in case of delays.","Ajusta la sincronización de la entrada, por si hay retrasos."
Advanced Settings,Ajustes avanzados
Affects overall volume of the game.,Afecta al volumen general del juego.
Affects volume for the Collector's voice. No need to bring it down.,Afecta al volumen de la voz del Coleccionista. No hace falta bajarlo.
"Affects volume for the sound effects in the game. Floor breaking, unowns, etc.","Afecta al volumen de los efectos de sonido del juego. Rotura de suelo, unowns, etc."
Ambient Occlusion,Oclusión ambiental
And You!,¡Y tú!
Anti-Aliasing (MSAA): ,Antialiasing (MSAA): 
Apply and Continue,Aplicar y continuar
Apply your preferences.,Ajusta tus preferencias.
Art Director,Director de arte
Art Lead & Supervisor,Responsable y supervisor de arte
Art and Story Direction,Dirección de arte e historia
"As low as it gets [No shadows, 0.75x render scale, post-processing off, zero antialiasing]","Lo más bajo posible [Sin sombras, escala de renderizado 0.75x, postprocesado apagado, sin antialiasing]"
Assist. Writer,Guionista asistente
Assist. Writing,Escritura asistente
Assit. Writing,Escritura asistente
Baby Mode,Modo fácil
"Bottom-of-the-barrel visuals [Post-proccesing off, zero antialiasing]","Gráficos de andar por casa [Postprocesado apagado, sin antialiasing]"
"Bounced light picking up the colour of nearby surfaces. The most expensive effect here and the hardest to notice, so turn it off first. Collector's Shop only.","Luz rebotada que recoge el color de las superficies cercanas. El efecto más caro de todos y el más difícil de notar, así que apágalo primero. Sólo en la Tienda del Coleccionista."
